id,perp_id,timestamp,location,screenshot_path
1,1,2025-08-31 17:53:40.472717,Test Run,sightings/sighting_20250831_175340_0.jpg
2,1,2025-08-31 17:53:40.476986,Test Run,sightings/sighting_20250831_175340_1.jpg
